"EDITAR";"C_CONTRATO";"C_CLIENTE";"INICIO_VIGENCIA";"FIN_VIGENCIA";"C_MONEDA";"INVERSION";"INVER_IGV";"MONTO_ORDENAR";"MONTO_OR_IGV";"OBSERVACIONES";"F_CREACION";"C_USUARIO";"RUC_CLIENTE";"NRO_FISICO";"FACTURADO";"TAZA_IGV";"TIPO_CAMBIO";
"
";"T0295";"C066";"01/06/11";"31/07/11";"Dolares";"2295";"2708";"2295";"2708";"";"23/06/11";"AUROCO";"20100170842";"CAP 151-11";"";"18";""
"
";"T0298";"C0104";"01/06/11";"31/07/11";"Dolares";"435";"513";"435";"513";"";"28/06/11";"AUROCO";"20431684871";"CAP 153-11";"";"18";""
"
";"T0297";"C042";"01/06/11";"31/07/11";"Soles";"61601,54";"72690";"61601,54";"72690";"CONTRATO AMERICA TELEVISION MONBTO EN DOLARES US$ 22,000.55 + IGV TIPO DE CAMBIO 2.8";"24/06/11";"AUROCO";"20138221157";"CAP 152-11";"";"18";""
"
";"T0299";"C0110";"01/07/11";"31/07/11";"Dolares";"2564";"3026";"2564";"3026";"";"30/06/11";"AUROCO";"XXX";"CAP 155-11";"";"18";""
"
";"T0300";"C0118";"01/07/11";"31/08/11";"Dolares";"11566";"13648";"11566";"13648";"";"04/07/11";"AUROCO";"20518117395";"CAP 156-11";"";"18";""
"
";"T0301";"C0128";"01/07/11";"31/07/11";"Soles";"6174";"7285";"6174";"7285";"CONTRATO AMERICA TELEVISION MONTO EN DOLARES US$ 2,205.00 + IGV TIPO DE CAMBIO 2.8";"04/07/11";"AUROCO";"20516609860";"CAP 154-11";"";"18";""
"
";"T0302";"C0128";"01/07/11";"31/07/11";"Dolares";"630";"743";"630";"743";"";"04/07/11";"AUROCO";"20516609860";"CAP 154-11";"";"18";""
"
";"T0303";"C04";"01/07/11";"31/07/11";"Dolares";"11460";"13523";"11460";"13523";"";"05/07/11";"AUROCO";"20470006961";"CAP 150-11";"";"18";""
"
";"T0304";"C0104";"01/07/11";"31/07/11";"Dolares";"375";"443";"375";"443";"";"06/07/11";"AUROCO";"20431684871";"CAP 159-11";"";"18";""
"
";"T0305";"C00";"01/07/11";"31/07/11";"Dolares";"6765";"7983";"6765";"7983";"";"06/07/11";"AUROCO";"20100704227";"CAP 157-11";"";"18";""
"
";"T0306";"C093";"01/07/11";"31/07/11";"Dolares";"13030";"15375";"13030";"15375";"";"06/07/11";"AUROCO";"20375536898";"CAP 160-11";"";"18";""
"
";"T0307";"C093";"01/07/11";"31/07/11";"Soles";"11760";"13877";"11760";"13877";"CONTRATO AMERICA TELEVISION MONTO EN DOLARES US$ 4,200.00 + IGV TIPO DE CAMBIO 2.8";"06/07/11";"AUROCO";"20375536898";"CAP 160-11";"";"18";""
